,蒲郡駅,東海道本線
,三河塩津駅,東海道本線
,三ケ根駅,東海道本線
,幸田駅,東海道本線
,相見駅,東海道本線
,岡崎駅,東海道本線
,西岡崎駅,東海道本線
,安城駅,東海道本線
,三河安城駅,東海道本線
,東刈谷駅,東海道本線
,野田新町駅,東海道本線
,刈谷駅,東海道本線
,逢妻駅,東海道本線
,大府駅,東海道本線
,共和駅,東海道本線
, 南大高駅,東海道本線
, 大高駅,東海道本線
, 笠寺駅,東海道本線
, 熱田駅,東海道本線
, 金山駅,東海道本線
, 尾頭橋駅,東海道本線
, 名古屋駅,東海道本線
,枇杷島駅,東海道本線
,清洲駅,東海道本線
,稲沢駅,東海道本線
,尾張一宮駅,東海道本線
,木曽川駅,東海道本線
,岐阜駅,東海道本線
,西岐阜駅,東海道本線
,穂積駅,東海道本線
,大垣駅,東海道本線
,垂井駅,東海道本線
,関ケ原駅,東海道本線
,柏原駅,東海道本線
,近江長岡駅,東海道本線
,醒ケ井駅,東海道本線
,米原駅,東海道本線
,豊橋駅,名鉄名古屋本線
,伊奈駅#↑,名鉄名古屋本線
,小田渕駅,名鉄名古屋本線
,国府駅#,名鉄名古屋本線
,御油駅,名鉄名古屋本線
,名電赤坂駅,名鉄名古屋本線
,名電長沢駅,名鉄名古屋本線
,本宿駅#,名鉄名古屋本線
,名電山中駅,名鉄名古屋本線
,舞木信号場,名鉄名古屋本線
,藤川駅,名鉄名古屋本線
,美合駅#,名鉄名古屋本線
,男川駅,名鉄名古屋本線
,東岡崎駅#,名鉄名古屋本線
,岡崎公園前駅,名鉄名古屋本線
,矢作橋駅#↓,名鉄名古屋本線
,宇頭駅,名鉄名古屋本線
,新安城駅#,名鉄名古屋本線
,牛田駅,名鉄名古屋本線
,知立駅,名鉄名古屋本線
,一ツ木駅,名鉄名古屋本線
,富士松駅,名鉄名古屋本線
,豊明駅#,名鉄名古屋本線
,前後駅#,名鉄名古屋本線
,中京競馬場前駅,名鉄名古屋本線
,有松駅,名鉄名古屋本線
,左京山駅,名鉄名古屋本線
,鳴海駅#,名鉄名古屋本線
,本星崎駅,名鉄名古屋本線
,本笠寺駅#,名鉄名古屋本線
,桜駅,名鉄名古屋本線
,呼続駅,名鉄名古屋本線
,堀田駅#,名鉄名古屋本線
,神宮前駅,名鉄名古屋本線
,金山駅#,名鉄名古屋本線
,山王駅,名鉄名古屋本線
,名鉄名古屋駅,名鉄名古屋本線
,栄生駅,名鉄名古屋本線
,東枇杷島駅,名鉄名古屋本線
,枇杷島分岐点,名鉄名古屋本線
,西枇杷島駅#,名鉄名古屋本線
,二ツ杁駅#,名鉄名古屋本線
,新川橋駅,名鉄名古屋本線
,須ヶ口駅,名鉄名古屋本線
,丸ノ内駅,名鉄名古屋本線
,新清洲駅#,名鉄名古屋本線
,大里駅,名鉄名古屋本線
,奥田駅,名鉄名古屋本線
,国府宮駅#,名鉄名古屋本線
,島氏永駅,名鉄名古屋本線
,妙興寺駅,名鉄名古屋本線
,名鉄一宮駅#↑,名鉄名古屋本線
,今伊勢駅,名鉄名古屋本線
,石刀駅,名鉄名古屋本線
,新木曽川駅#,名鉄名古屋本線
,黒田駅,名鉄名古屋本線
,木曽川堤駅,名鉄名古屋本線
,笠松駅,名鉄名古屋本線
,岐南駅#,名鉄名古屋本線
,茶所駅,名鉄名古屋本線
,加納駅,名鉄名古屋本線
,名鉄岐阜駅#,名鉄名古屋本線
,下小田井駅,名鉄犬山線
,中小田井駅,名鉄犬山線
,上小田井駅,名鉄犬山線
,西春駅#,名鉄犬山線
,徳重・名古屋芸大駅,名鉄犬山線
,大山寺駅,名鉄犬山線
,岩倉駅#,名鉄犬山線
,石仏駅,名鉄犬山線
,布袋駅#,名鉄犬山線
,江南駅,名鉄犬山線
,柏森駅,名鉄犬山線
,扶桑駅#,名鉄犬山線
,木津用水駅,名鉄犬山線
,犬山口駅,名鉄犬山線
,犬山駅#,名鉄犬山線
,犬山遊園駅,名鉄犬山線
,新鵜沼駅#,名鉄犬山線
,神宮前駅,名鉄常滑線
,豊田本町駅,名鉄常滑線
,道徳駅,名鉄常滑線
,大江駅#,名鉄常滑線
,大同町駅,名鉄常滑線
,柴田駅,名鉄常滑線
,名和駅,名鉄常滑線
,聚楽園駅#,名鉄常滑線
,新日鉄前駅,名鉄常滑線
